Eigen_Calls		 samp4			  samp16		   samp64
3.300000000000000000e+02 2.037136553695741755e-03 1.752514230419733145e-03 2.164982399700943975e-03
3.400000000000000000e+02 1.773227349199804322e-03 1.510961847386079176e-03 2.323476732794839232e-03
3.500000000000000000e+02 1.835507637041009030e-03 1.939000762919514207e-03 2.119591250803519976e-03
3.600000000000000000e+02 2.384721014151741647e-03 2.256025104021468566e-03 2.353746298873539509e-03
3.700000000000000000e+02 1.612494594431921344e-03 1.853945253893685228e-03 1.787118025854273450e-03
3.800000000000000000e+02 1.981677709879673104e-03 1.828650987980269668e-03 2.033615004316246914e-03
3.900000000000000000e+02 1.979809462504348097e-03 1.876872901196194408e-03 2.277950228134045883e-03
4.000000000000000000e+02 2.156794760962391262e-03 2.413162691549808683e-03 2.139253307939480587e-03
4.100000000000000000e+02 2.259165794618567171e-03 1.905913844575784057e-03 2.133154035471983810e-03
4.200000000000000000e+02 2.434459123709604555e-03 1.883502168436622945e-03 1.865442034014325135e-03
4.300000000000000000e+02 2.539043183814776710e-03 1.858125756953442169e-03 1.926548705605032018e-03
4.400000000000000000e+02 1.815182103882598307e-03 1.481921534319429606e-03 1.978615543867613680e-03
4.500000000000000000e+02 1.522619439069399774e-03 2.285202050883786400e-03 1.780847762769522790e-03
4.600000000000000000e+02 2.281992851981651943e-03 1.896434736968169226e-03 2.005015090162122742e-03
4.700000000000000000e+02 2.125907208998354878e-03 2.237740466642818785e-03 2.189737313038848075e-03
4.800000000000000000e+02 1.793670603442504979e-03 2.099198665503674340e-03 1.980054597327491044e-03
4.900000000000000000e+02 2.214215783273389138e-03 1.892795224463972867e-03 2.155903122568038864e-03
5.000000000000000000e+02 1.362314372492567059e-03 1.861797369189790172e-03 2.072727674504330764e-03
5.100000000000000000e+02 2.280558062539350672e-03 1.626904969221507720e-03 1.946246777397062306e-03
5.200000000000000000e+02 2.152298392239818722e-03 1.659053862083068953e-03 1.817489037527821602e-03
5.300000000000000000e+02 2.806477250178639887e-03 2.097277776402616933e-03 1.890291832114742885e-03
5.400000000000000000e+02 1.884266622854601772e-03 2.228998900499980836e-03 1.817167821135065500e-03
5.500000000000000000e+02 1.820369309862196515e-03 2.018046295902638232e-03 1.747901932774117767e-03
5.600000000000000000e+02 2.266884567076975481e-03 1.978021796630919163e-03 1.938531494000977342e-03
5.700000000000000000e+02 2.689926017122594177e-03 1.674335107969130267e-03 1.859052328776126693e-03
5.800000000000000000e+02 1.857891687275904560e-03 1.669695816109522312e-03 1.813660568543712468e-03
5.900000000000000000e+02 1.722914692507698841e-03 2.033429099817382017e-03 2.076325715980126708e-03
6.000000000000000000e+02 1.157882655545247044e-03 2.297568931958278611e-03 2.050563628972972702e-03
6.100000000000000000e+02 2.465206968744576479e-03 1.891166051914650861e-03 2.019204960364110422e-03
6.200000000000000000e+02 1.872185169983551925e-03 1.943504439907784223e-03 2.062958075512484873e-03
6.300000000000000000e+02 2.278327708140908455e-03 1.861290700902200898e-03 1.679162834647777861e-03
6.400000000000000000e+02 2.186050284078418920e-03 1.836939397329254457e-03 1.842688144230378603e-03
6.500000000000000000e+02 1.954244687567128179e-03 1.991795096216730961e-03 1.924287791754889301e-03
6.600000000000000000e+02 2.273475975053551416e-03 2.070210230171247792e-03 2.073509530625333892e-03
6.700000000000000000e+02 2.094500380559000119e-03 2.079022468206419630e-03 1.841806453087051904e-03
6.800000000000000000e+02 1.805849586633609741e-03 2.063008559052867223e-03 1.952039195295438923e-03
6.900000000000000000e+02 2.197752982137766379e-03 2.096464539015541976e-03 1.914451226851270147e-03
7.000000000000000000e+02 2.202275357525052164e-03 1.852530776703391509e-03 1.824340534588638364e-03
7.100000000000000000e+02 2.165792340320182342e-03 2.176123238485090910e-03 2.185165144780749653e-03
7.200000000000000000e+02 1.977065756164795348e-03 1.592387544382748094e-03 1.923575048239930130e-03
7.300000000000000000e+02 2.404647474615300394e-03 1.829801381510787195e-03 1.862226935062301272e-03
7.400000000000000000e+02 2.447354332673598414e-03 1.181766457771166569e-03 1.791329499559273213e-03
7.500000000000000000e+02 2.079331905545126098e-03 1.780283851867615636e-03 1.633468194531637009e-03
7.600000000000000000e+02 2.191805299297644189e-03 1.538190495153988601e-03 1.668289786728453534e-03
7.700000000000000000e+02 2.585121227500404052e-03 1.734411196436814236e-03 1.535386567170044783e-03
7.800000000000000000e+02 1.728642694659269629e-03 2.117092008674387269e-03 1.608073016359793522e-03
7.900000000000000000e+02 1.828121794083136095e-03 2.046249604957051452e-03 1.692886557759419163e-03
8.000000000000000000e+02 2.711251098523370043e-03 1.580463251511806007e-03 1.892337877495475166e-03
8.100000000000000000e+02 1.978604879530540105e-03 1.917590432180150874e-03 1.783763354236846512e-03
8.200000000000000000e+02 1.574587860479552534e-03 1.667030859796753660e-03 2.203561149891684282e-03
8.300000000000000000e+02 1.824052320845107262e-03 2.110548858384509157e-03 1.806573736264106660e-03
8.400000000000000000e+02 1.906200992338374272e-03 2.135732959551812134e-03 1.678296104929079442e-03
8.500000000000000000e+02 1.979818426642985206e-03 1.808032443004777825e-03 1.922483037838752101e-03
8.600000000000000000e+02 1.505167998408242329e-03 1.939849341717896818e-03 1.514545155369466595e-03
8.700000000000000000e+02 2.479433239989023950e-03 2.045462768526230997e-03 1.749371312382992519e-03
8.800000000000000000e+02 1.812862008439079234e-03 1.838454584644811946e-03 2.137197702641197797e-03
8.900000000000000000e+02 2.469808866238297658e-03 2.191543643931582758e-03 1.655449801158343469e-03
9.000000000000000000e+02 1.959680029333027429e-03 1.972328703970374370e-03 1.582930786963390474e-03
9.100000000000000000e+02 1.912460305978352839e-03 2.049414314377559845e-03 1.770082222566047052e-03
9.200000000000000000e+02 1.769385780636082090e-03 1.875864330085481174e-03 1.807627017556842934e-03
9.300000000000000000e+02 2.171400403251417480e-03 1.502093139159257386e-03 2.031588566828787003e-03
9.400000000000000000e+02 1.851202922578397284e-03 2.326187491357706652e-03 1.676425404745247134e-03
9.500000000000000000e+02 2.446877412848167191e-03 1.836682404339416838e-03 1.613803705964494137e-03
9.600000000000000000e+02 1.846554062383136017e-03 1.771686105586643559e-03 1.580887641570473184e-03
9.700000000000000000e+02 1.675344421866197409e-03 1.577796394037203056e-03 1.667228241742414480e-03
9.800000000000000000e+02 1.897650783735294619e-03 1.680603335390572651e-03 1.638885515735800718e-03
9.900000000000000000e+02 1.604302103264843233e-03 1.721403948782918589e-03 1.993553268209602870e-03
1.000000000000000000e+03 2.068841175654147560e-03 1.943119916700718902e-03 1.781567377888890495e-03
